# generated by pk/render/oracle/run_svg_primitive.sh
# qt=5.15.7
# comparator=QSvgRenderer (Qt5Svg 5.15.7) + QSvgGenerator
svg-ellipse#0:nopen:fill doc=b3c1bf54 qt=fe79b90d pk=fe79b90d
svg-arc#279:s-415:w-2879:nopen:fill doc=31acbb9f qt=76efddc5 pk=76efddc5
svg-arc#280:s-415:w-2879:pen2.5:nofill doc=f620d5ee qt=3042b384 pk=3042b384
svg-arc#281:s-415:w-2879:pen2.5:fill doc=f620d5ee qt=3042b384 pk=3042b384
svg-arc#282:s2879:w911:nopen:fill doc=d95109b0 qt=76efddc5 pk=76efddc5
svg-arc#283:s2879:w911:pen2.5:nofill doc=e2acf9df qt=1965ba54 pk=1965ba54
svg-arc#284:s2879:w911:pen2.5:fill doc=e2acf9df qt=1965ba54 pk=1965ba54
svg-arc#285:s0:w1455:nopen:fill doc=7b467af qt=76efddc5 pk=76efddc5
svg-arc#286:s0:w1455:pen2.5:nofill doc=6918579e qt=2e62fac8 pk=2e62fac8
svg-arc#287:s0:w1455:pen2.5:fill doc=6918579e qt=2e62fac8 pk=2e62fac8
# blank=76efddc5
